                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.56119,                 0.3392,                 1.0268,                0.63091,                0.31056,                 1.0534,                 0.9796,                0.94334,                0.99108,                0.87969,                0.47011,                0.27017,                0.99733,                0.49318,                0.22766,                 1.0109,              0.0061885,              0.0061885,              0.0061885
                     80,                0.54641,                0.33034,                  1.017,                0.61464,                0.29079,                 1.0403,                0.96436,                0.96485,                0.99058,                0.87631,                0.47537,                0.26515,                0.99824,                0.48982,                0.21268,                 1.0075,               0.006139,               0.006139,               0.006139
                     81,                0.53974,                0.32698,                 1.0119,                0.60811,                0.29371,                 1.0354,                 0.9716,                0.95444,                 0.9911,                0.87993,                0.46926,                0.26627,                0.99267,                0.49359,                0.21997,                 1.0063,              0.0060895,              0.0060895,              0.0060895
                     82,                0.54907,                0.33153,                 1.0168,                0.61096,                0.29682,                  1.041,                0.94013,                0.96588,                0.98925,                0.87633,                0.47685,                0.26503,                0.99725,                0.50298,                0.23311,                 1.0146,                0.00604,                0.00604,                0.00604
                     83,                 0.5407,                0.32587,                 1.0145,                 0.6083,                0.29972,                 1.0369,                  0.947,                0.91432,                0.97233,                0.86402,                0.47078,                0.26788,                0.99608,                0.48836,                0.34541,                 1.0068,              0.0059905,              0.0059905,              0.0059905
                     84,                0.54645,                0.32687,                 1.0204,                0.61829,                0.30474,                 1.0449,                0.96814,                0.94624,                0.98865,                0.87954,                0.46753,                0.25928,                0.99255,                0.49025,                0.23559,                 1.0058,               0.005941,               0.005941,               0.005941
                     85,                0.54146,                  0.325,                 1.0136,                0.60738,                0.29538,                  1.037,                0.94661,                0.98064,                0.99099,                0.87984,                0.47067,                0.26045,                 0.9962,                0.49484,                0.22552,                 1.0083,              0.0058915,              0.0058915,              0.0058915
                     86,                0.53866,                0.31514,                  1.015,                0.60619,                0.29328,                 1.0394,                0.95971,                0.96144,                0.98887,                0.87937,                0.46988,                 0.2577,                0.99882,                0.48756,                0.22649,                 1.0062,               0.005842,               0.005842,               0.005842
                     87,                0.53316,                0.31358,                 1.0119,                0.59531,                0.28005,                 1.0368,                0.96083,                0.96717,                0.99085,                0.87397,                0.47966,                0.25753,                0.99974,                0.50688,                0.22542,                 1.0228,              0.0057925,              0.0057925,              0.0057925
                     88,                0.53806,                0.31817,                 1.0136,                0.60693,                0.29192,                 1.0387,                0.97697,                0.96254,                0.99197,                0.88291,                0.47312,                 0.2529,                 1.0009,                 0.4943,                0.21364,                 1.0177,               0.005743,               0.005743,               0.005743
